"ingestion_system","shop_count","total_offers","date"
"Legacy Agent","4136","62004765","2023-06-01"
"Legacy Scraper","5800","16399262","2023-06-01"
"Feed Ingestion System (FIS)","1659","143095843","2023-06-01"
"Legacy Monza Agent","2","11454991","2023-06-01"
"Legacy Agent","4135","62823478","2023-06-02"
"Legacy Scraper","5800","16521676","2023-06-02"
"Feed Ingestion System (FIS)","1660","143542777","2023-06-02"
"Legacy Monza Agent","2","11526779","2023-06-02"
"Legacy Agent","4133","61820112","2023-06-03"
"Legacy Scraper","5800","16707408","2023-06-03"
"Feed Ingestion System (FIS)","1661","144448411","2023-06-03"
"Legacy Monza Agent","2","11552921","2023-06-03"
"Legacy Agent","4133","62495659","2023-06-04"
"Legacy Scraper","5800","16656415","2023-06-04"
"Feed Ingestion System (FIS)","1661","144971858","2023-06-04"
"Legacy Monza Agent","2","11718704","2023-06-04"
"Legacy Agent","4133","61601721","2023-06-05"
"Legacy Scraper","5800","16610076","2023-06-05"
"Feed Ingestion System (FIS)","1661","146592711","2023-06-05"
"Legacy Monza Agent","2","11784386","2023-06-05"
"Legacy Agent","4133","62448253","2023-06-06"
"Legacy Scraper","5800","16738421","2023-06-06"
"Feed Ingestion System (FIS)","1660","147614889","2023-06-06"
"Legacy Monza Agent","2","10650408","2023-06-06"
"Legacy Agent","4127","63183044","2023-06-07"
"Legacy Scraper","5796","16858199","2023-06-07"
"Feed Ingestion System (FIS)","1660","140571879","2023-06-07"
"Legacy Monza Agent","2","10856261","2023-06-07"
"Legacy Agent","4124","63003657","2023-06-08"
"Legacy Scraper","5796","16717903","2023-06-08"
"Feed Ingestion System (FIS)","1662","142236351","2023-06-08"
"Legacy Monza Agent","2","11031945","2023-06-08"
"Legacy Agent","4125","62843639","2023-06-09"
"Legacy Scraper","5793","16773958","2023-06-09"
"Feed Ingestion System (FIS)","1665","142542528","2023-06-09"
"Legacy Monza Agent","2","11141516","2023-06-09"
"Legacy Agent","4126","63469785","2023-06-10"
"Legacy Scraper","5792","16830812","2023-06-10"
"Feed Ingestion System (FIS)","1665","144688680","2023-06-10"
"Legacy Monza Agent","2","11181644","2023-06-10"
"Legacy Agent","4126","61305556","2023-06-11"
"Legacy Scraper","5792","17076661","2023-06-11"
"Feed Ingestion System (FIS)","1665","146878512","2023-06-11"
"Legacy Monza Agent","2","11266422","2023-06-11"
"Legacy Agent","4126","63830517","2023-06-12"
"Legacy Scraper","5792","17424889","2023-06-12"
"Feed Ingestion System (FIS)","1665","149641564","2023-06-12"
"Legacy Monza Agent","2","11323882","2023-06-12"
"Legacy Agent","4120","64161594","2023-06-13"
"Legacy Scraper","5792","17484370","2023-06-13"
"Feed Ingestion System (FIS)","1667","152079780","2023-06-13"
"Legacy Monza Agent","2","11203734","2023-06-13"
"Legacy Agent","4120","64341547","2023-06-14"
"Legacy Scraper","5790","17840314","2023-06-14"
"Feed Ingestion System (FIS)","1668","147471832","2023-06-14"
"Legacy Monza Agent","2","11297912","2023-06-14"
"Legacy Agent","4121","64511148","2023-06-15"
"Legacy Scraper","5790","17951976","2023-06-15"
"Feed Ingestion System (FIS)","1668","147705850","2023-06-15"
"Legacy Monza Agent","2","11359259","2023-06-15"
"Legacy Agent","4118","65243631","2023-06-16"
"Legacy Scraper","5789","18161899","2023-06-16"
"Feed Ingestion System (FIS)","1670","149781824","2023-06-16"
"Legacy Monza Agent","2","11449395","2023-06-16"
"Legacy Agent","4122","64097708","2023-06-17"
"Legacy Scraper","5786","18510956","2023-06-17"
"Feed Ingestion System (FIS)","1670","154201979","2023-06-17"
"Legacy Monza Agent","2","11521006","2023-06-17"
"Legacy Agent","4122","64615123","2023-06-18"
"Legacy Scraper","5786","18425998","2023-06-18"
"Feed Ingestion System (FIS)","1670","160535118","2023-06-18"
"Legacy Monza Agent","2","11589825","2023-06-18"
"Legacy Agent","4122","65114496","2023-06-19"
"Legacy Scraper","5786","18435962","2023-06-19"
"Feed Ingestion System (FIS)","1670","162105039","2023-06-19"
"Legacy Monza Agent","2","11662438","2023-06-19"
"Legacy Agent","4120","65203635","2023-06-20"
"Legacy Scraper","5785","18251950","2023-06-20"
"Feed Ingestion System (FIS)","1673","164254669","2023-06-20"
"Legacy Monza Agent","2","10605842","2023-06-20"
"Legacy Agent","4116","65926079","2023-06-21"
"Legacy Scraper","5785","18492751","2023-06-21"
"Feed Ingestion System (FIS)","1676","155991231","2023-06-21"
"Legacy Monza Agent","2","10679907","2023-06-21"
"Legacy Agent","4115","65207643","2023-06-22"
"Legacy Scraper","5784","18609638","2023-06-22"
"Feed Ingestion System (FIS)","1678","158789482","2023-06-22"
"Legacy Monza Agent","2","10741844","2023-06-22"
"Legacy Agent","4108","65405338","2023-06-23"
"Legacy Scraper","5782","18420397","2023-06-23"
"Feed Ingestion System (FIS)","1677","158945507","2023-06-23"
"Legacy Monza Agent","2","10756998","2023-06-23"
"Legacy Agent","4108","65436867","2023-06-24"
"Legacy Scraper","5782","18648295","2023-06-24"
"Feed Ingestion System (FIS)","1677","160058290","2023-06-24"
"Legacy Monza Agent","2","10747325","2023-06-24"
"Legacy Agent","4108","65594581","2023-06-25"
"Legacy Scraper","5782","18598059","2023-06-25"
"Feed Ingestion System (FIS)","1677","163486708","2023-06-25"
"Legacy Monza Agent","2","10744078","2023-06-25"
"Legacy Agent","4108","65599876","2023-06-26"
"Legacy Scraper","5779","18257019","2023-06-26"
"Feed Ingestion System (FIS)","1697","164309663","2023-06-26"
"Legacy Monza Agent","2","10744531","2023-06-26"
"Legacy Agent","4108","65607358","2023-06-27"
"Legacy Scraper","5779","18526774","2023-06-27"
"Feed Ingestion System (FIS)","1672","159068625","2023-06-27"
"Legacy Monza Agent","2","10755364","2023-06-27"
"Search Engine Scraper","8","20766","2023-06-27"
"Legacy Agent","4101","66133464","2023-06-28"
"Legacy Scraper","5776","18373535","2023-06-28"
"Feed Ingestion System (FIS)","1699","163290021","2023-06-28"
"Legacy Monza Agent","2","11318792","2023-06-28"
"Legacy Agent","4100","64907541","2023-06-29"
"Legacy Scraper","5776","18409348","2023-06-29"
"Feed Ingestion System (FIS)","1681","156669975","2023-06-29"
"Search Engine Scraper","18","18670","2023-06-29"
"Legacy Monza Agent","2","11374980","2023-06-29"
"Legacy Agent","4095","65040216","2023-06-30"
"Legacy Scraper","5773","18652114","2023-06-30"
"Feed Ingestion System (FIS)","1683","158004369","2023-06-30"
"Search Engine Scraper","18","18756","2023-06-30"
"Legacy Monza Agent","2","11407201","2023-06-30"
"Legacy Agent","4094","65419925","2023-07-01"
"Legacy Scraper","5771","18296046","2023-07-01"
"Feed Ingestion System (FIS)","1686","161260756","2023-07-01"
"Search Engine Scraper","20","18886","2023-07-01"
"Legacy Monza Agent","2","11420413","2023-07-01"
"Legacy Agent","4094","65022091","2023-07-02"
"Legacy Scraper","5771","18545184","2023-07-02"
"Feed Ingestion System (FIS)","1686","162995884","2023-07-02"
"Search Engine Scraper","20","18889","2023-07-02"
"Legacy Monza Agent","2","11448593","2023-07-02"
"Legacy Agent","4094","65540922","2023-07-03"
"Legacy Scraper","5771","18416061","2023-07-03"
"Feed Ingestion System (FIS)","1686","164888941","2023-07-03"
"Search Engine Scraper","20","18805","2023-07-03"
"Legacy Monza Agent","2","11470622","2023-07-03"
"Legacy Agent","4095","65382130","2023-07-04"
"Legacy Scraper","5771","18551321","2023-07-04"
"Feed Ingestion System (FIS)","1686","165786109","2023-07-04"
"Search Engine Scraper","21","18703","2023-07-04"
"Legacy Monza Agent","2","8899834","2023-07-04"
"Legacy Agent","4098","65896657","2023-07-05"
"Legacy Scraper","5768","18409720","2023-07-05"
"Feed Ingestion System (FIS)","1682","163278885","2023-07-05"
"Search Engine Scraper","23","18745","2023-07-05"
"Legacy Monza Agent","2","8921844","2023-07-05"
"Legacy Agent","4094","63011393","2023-07-06"
"Legacy Scraper","5768","18507319","2023-07-06"
"Feed Ingestion System (FIS)","1686","159691275","2023-07-06"
"Search Engine Scraper","23","18760","2023-07-06"
"Legacy Monza Agent","2","8946961","2023-07-06"
"Legacy Agent","4092","62676546","2023-07-07"
"Legacy Scraper","5768","18125258","2023-07-07"
"Feed Ingestion System (FIS)","1687","160611901","2023-07-07"
"Search Engine Scraper","23","12097","2023-07-07"
"Legacy Monza Agent","2","8994548","2023-07-07"
"Legacy Agent","4091","62358196","2023-07-08"
"Legacy Scraper","5767","17752268","2023-07-08"
"Feed Ingestion System (FIS)","1687","163085285","2023-07-08"
"Search Engine Scraper","23","12123","2023-07-08"
"Legacy Monza Agent","2","9045344","2023-07-08"
"Legacy Agent","4091","62951827","2023-07-09"
"Legacy Scraper","5767","17921381","2023-07-09"
"Feed Ingestion System (FIS)","1687","165442901","2023-07-09"
"Search Engine Scraper","23","12125","2023-07-09"
"Legacy Monza Agent","2","9060790","2023-07-09"
"Legacy Agent","4091","62689695","2023-07-10"
"Legacy Scraper","5767","17781231","2023-07-10"
"Feed Ingestion System (FIS)","1687","166954598","2023-07-10"
"Search Engine Scraper","23","12093","2023-07-10"
"Legacy Monza Agent","2","9070683","2023-07-10"
"Legacy Agent","4090","62752850","2023-07-11"
"Legacy Scraper","5766","17852940","2023-07-11"
"Feed Ingestion System (FIS)","1686","165309744","2023-07-11"
"Search Engine Scraper","23","12085","2023-07-11"
"Legacy Monza Agent","2","8577793","2023-07-11"
"Legacy Agent","4088","62318830","2023-07-12"
"Legacy Scraper","5766","17468100","2023-07-12"
"Feed Ingestion System (FIS)","1688","151956017","2023-07-12"
"Search Engine Scraper","23","12070","2023-07-12"
"Legacy Monza Agent","2","8583609","2023-07-12"
"Legacy Agent","4080","62293643","2023-07-13"
"Legacy Scraper","5766","17746046","2023-07-13"
"Feed Ingestion System (FIS)","1696","151926950","2023-07-13"
"Search Engine Scraper","23","12038","2023-07-13"
"Legacy Monza Agent","2","8626015","2023-07-13"
"Legacy Agent","4079","62478856","2023-07-14"
"Legacy Scraper","5763","17706671","2023-07-14"
"Feed Ingestion System (FIS)","1695","152501381","2023-07-14"
"Search Engine Scraper","23","12097","2023-07-14"
"Legacy Monza Agent","2","8589702","2023-07-14"
"Legacy Agent","4061","62299513","2023-07-15"
"Legacy Scraper","5763","17565292","2023-07-15"
"Feed Ingestion System (FIS)","1713","156206543","2023-07-15"
"Search Engine Scraper","23","12121","2023-07-15"
"Legacy Monza Agent","2","8594810","2023-07-15"
"Legacy Agent","4061","62557443","2023-07-16"
"Legacy Scraper","5763","17506968","2023-07-16"
"Feed Ingestion System (FIS)","1713","159010495","2023-07-16"
"Search Engine Scraper","23","12119","2023-07-16"
"Legacy Monza Agent","2","8625092","2023-07-16"
"Legacy Agent","4061","62009252","2023-07-17"
"Legacy Scraper","5763","17594910","2023-07-17"
"Feed Ingestion System (FIS)","1713","160596588","2023-07-17"
"Search Engine Scraper","23","12112","2023-07-17"
"Legacy Monza Agent","2","8642998","2023-07-17"
"Legacy Agent","4043","61792566","2023-07-18"
"Legacy Scraper","5763","17735101","2023-07-18"
"Feed Ingestion System (FIS)","1728","158213392","2023-07-18"
"Search Engine Scraper","23","12110","2023-07-18"
"Legacy Monza Agent","2","8183019","2023-07-18"
"Legacy Agent","4037","61580844","2023-07-19"
"Legacy Scraper","5762","17554132","2023-07-19"
"Feed Ingestion System (FIS)","1736","145680773","2023-07-19"
"Search Engine Scraper","23","12096","2023-07-19"
"Legacy Monza Agent","2","8193881","2023-07-19"
"Legacy Agent","4026","61594563","2023-07-20"
"Legacy Scraper","5757","17322248","2023-07-20"
"Feed Ingestion System (FIS)","1752","150318717","2023-07-20"
"Search Engine Scraper","23","12080","2023-07-20"
"Legacy Monza Agent","2","8192762","2023-07-20"
"Legacy Agent","4008","61929589","2023-07-21"
"Legacy Scraper","5755","17411217","2023-07-21"
"Feed Ingestion System (FIS)","1773","149897284","2023-07-21"
"Search Engine Scraper","23","12055","2023-07-21"
"Legacy Monza Agent","2","8210065","2023-07-21"
"Legacy Agent","4000","61525325","2023-07-22"
"Legacy Scraper","5754","17415497","2023-07-22"
"Feed Ingestion System (FIS)","1781","151930034","2023-07-22"
"Search Engine Scraper","23","12021","2023-07-22"
"Legacy Monza Agent","2","8200015","2023-07-22"
"Legacy Agent","4000","61423093","2023-07-23"
"Legacy Scraper","5754","17347513","2023-07-23"
"Feed Ingestion System (FIS)","1781","155593891","2023-07-23"
"Search Engine Scraper","23","12004","2023-07-23"
"Legacy Monza Agent","2","8229477","2023-07-23"
"Legacy Agent","4000","61552629","2023-07-24"
"Legacy Scraper","5754","17370016","2023-07-24"
"Feed Ingestion System (FIS)","1781","157374535","2023-07-24"
"Search Engine Scraper","23","11994","2023-07-24"
"Legacy Monza Agent","2","8321223","2023-07-24"
"Legacy Agent","3981","61162533","2023-07-25"
"Legacy Scraper","5755","17325476","2023-07-25"
"Feed Ingestion System (FIS)","1791","159123512","2023-07-25"
"Search Engine Scraper","23","11990","2023-07-25"
"Legacy Monza Agent","2","8205524","2023-07-25"
"Legacy Agent","3982","60848354","2023-07-26"
"Legacy Scraper","5755","17111538","2023-07-26"
"Feed Ingestion System (FIS)","1791","155275459","2023-07-26"
"Search Engine Scraper","23","12027","2023-07-26"
"Legacy Monza Agent","2","8221997","2023-07-26"
"Legacy Agent","3979","61204882","2023-07-27"
"Legacy Scraper","5754","17036604","2023-07-27"
"Feed Ingestion System (FIS)","1791","151180668","2023-07-27"
"Search Engine Scraper","23","11997","2023-07-27"
"Legacy Monza Agent","2","8246122","2023-07-27"
"Legacy Agent","3976","60656381","2023-07-28"
"Legacy Scraper","5754","17088983","2023-07-28"
"Feed Ingestion System (FIS)","1794","151285591","2023-07-28"
"Search Engine Scraper","23","12029","2023-07-28"
"Legacy Monza Agent","2","8266730","2023-07-28"
"Legacy Agent","3976","61092534","2023-07-29"
"Legacy Scraper","5753","17354241","2023-07-29"
"Feed Ingestion System (FIS)","1794","155500975","2023-07-29"
"Search Engine Scraper","23","12019","2023-07-29"
"Legacy Monza Agent","2","8265967","2023-07-29"
"Legacy Agent","3976","60159664","2023-07-30"
"Legacy Scraper","5753","17274277","2023-07-30"
"Feed Ingestion System (FIS)","1794","157067236","2023-07-30"
"Search Engine Scraper","23","12015","2023-07-30"
"Legacy Monza Agent","2","8305094","2023-07-30"
"Legacy Agent","3976","61340281","2023-07-31"
"Legacy Scraper","5753","17229675","2023-07-31"
"Feed Ingestion System (FIS)","1794","158954916","2023-07-31"
"Search Engine Scraper","23","12004","2023-07-31"
"Legacy Monza Agent","2","8324042","2023-07-31"
"Legacy Agent","3975","60838702","2023-08-01"
"Legacy Scraper","5754","17464247","2023-08-01"
"Feed Ingestion System (FIS)","1794","160124417","2023-08-01"
"Search Engine Scraper","23","11994","2023-08-01"
"Legacy Monza Agent","2","8013804","2023-08-01"
"Legacy Agent","3971","61185941","2023-08-02"
"Legacy Scraper","5752","17441260","2023-08-02"
"Feed Ingestion System (FIS)","1798","155463426","2023-08-02"
"Search Engine Scraper","23","11949","2023-08-02"
"Legacy Monza Agent","2","8048952","2023-08-02"
"Legacy Agent","3969","58924266","2023-08-03"
"Legacy Scraper","5748","17304102","2023-08-03"
"Feed Ingestion System (FIS)","1799","153471323","2023-08-03"
"Search Engine Scraper","23","11916","2023-08-03"
"Legacy Monza Agent","2","8091057","2023-08-03"
"Legacy Agent","3968","60621401","2023-08-04"
"Legacy Scraper","5749","17408970","2023-08-04"
"Feed Ingestion System (FIS)","1800","153038096","2023-08-04"
"Search Engine Scraper","23","11922","2023-08-04"
"Legacy Monza Agent","2","8127541","2023-08-04"
"Legacy Agent","3965","59312742","2023-08-05"
"Legacy Scraper","5749","17449345","2023-08-05"
"Feed Ingestion System (FIS)","1803","155997265","2023-08-05"
"Search Engine Scraper","23","11893","2023-08-05"
"Legacy Monza Agent","2","8111677","2023-08-05"
"Legacy Agent","3965","59180270","2023-08-06"
"Legacy Scraper","5749","17514504","2023-08-06"
"Feed Ingestion System (FIS)","1803","157430193","2023-08-06"
"Search Engine Scraper","23","11886","2023-08-06"
"Legacy Monza Agent","2","8144903","2023-08-06"
"Legacy Agent","3965","59111068","2023-08-07"
"Legacy Scraper","5749","17473221","2023-08-07"
"Feed Ingestion System (FIS)","1803","158969476","2023-08-07"
"Search Engine Scraper","23","11857","2023-08-07"
"Legacy Monza Agent","2","8137294","2023-08-07"
"Legacy Agent","3961","58792351","2023-08-08"
"Legacy Scraper","5750","17745290","2023-08-08"
"Feed Ingestion System (FIS)","1806","156251506","2023-08-08"
"Search Engine Scraper","23","11803","2023-08-08"
"Legacy Monza Agent","2","6885316","2023-08-08"
"Legacy Agent","3959","59024213","2023-08-09"
"Legacy Scraper","5751","17449801","2023-08-09"
"Feed Ingestion System (FIS)","1807","146813989","2023-08-09"
"Search Engine Scraper","23","11845","2023-08-09"
"Legacy Monza Agent","2","6936213","2023-08-09"
"Legacy Agent","3959","57656610","2023-08-10"
"Legacy Scraper","5751","17581637","2023-08-10"
"Feed Ingestion System (FIS)","1807","149165241","2023-08-10"
"Search Engine Scraper","23","11803","2023-08-10"
"Legacy Monza Agent","2","6980665","2023-08-10"
"Legacy Agent","3959","58672975","2023-08-11"
"Legacy Scraper","5750","17467886","2023-08-11"
"Feed Ingestion System (FIS)","1808","149888759","2023-08-11"
"Search Engine Scraper","23","11824","2023-08-11"
"Legacy Monza Agent","2","7030987","2023-08-11"
"Legacy Agent","3954","58590335","2023-08-12"
"Legacy Scraper","5751","17495679","2023-08-12"
"Feed Ingestion System (FIS)","1812","152952957","2023-08-12"
"Search Engine Scraper","23","11827","2023-08-12"
"Legacy Monza Agent","2","7093302","2023-08-12"
"Legacy Agent","3954","58845100","2023-08-13"
"Legacy Scraper","5751","17357355","2023-08-13"
"Feed Ingestion System (FIS)","1812","154586151","2023-08-13"
"Search Engine Scraper","23","11811","2023-08-13"
"Legacy Monza Agent","2","7131682","2023-08-13"
"Legacy Agent","3954","58624353","2023-08-14"
"Legacy Scraper","5751","17393310","2023-08-14"
"Feed Ingestion System (FIS)","1812","155877524","2023-08-14"
"Search Engine Scraper","23","11804","2023-08-14"
"Legacy Monza Agent","2","7214574","2023-08-14"
"Legacy Agent","3950","58616084","2023-08-15"
"Legacy Scraper","5746","17373499","2023-08-15"
"Feed Ingestion System (FIS)","1811","156440087","2023-08-15"
"Search Engine Scraper","23","11800","2023-08-15"
"Legacy Monza Agent","2","6724363","2023-08-15"
"Legacy Agent","3949","58726123","2023-08-16"
"Legacy Scraper","5747","17519619","2023-08-16"
"Feed Ingestion System (FIS)","1811","156203259","2023-08-16"
"Search Engine Scraper","23","11803","2023-08-16"
"Legacy Monza Agent","2","6784985","2023-08-16"
"Legacy Agent","3944","58721758","2023-08-17"
"Legacy Scraper","5746","17517532","2023-08-17"
"Feed Ingestion System (FIS)","1817","156219743","2023-08-17"
"Search Engine Scraper","23","11803","2023-08-17"
"Legacy Monza Agent","2","6784985","2023-08-17"
"Legacy Agent","3944","59426591","2023-08-18"
"Legacy Scraper","5746","17575371","2023-08-18"
"Feed Ingestion System (FIS)","1818","149764748","2023-08-18"
"Search Engine Scraper","23","11850","2023-08-18"
"Legacy Monza Agent","2","6769732","2023-08-18"
"Legacy Agent","3946","59696456","2023-08-19"
"Legacy Scraper","5746","17388765","2023-08-19"
"Feed Ingestion System (FIS)","1815","151947713","2023-08-19"
"Search Engine Scraper","23","11839","2023-08-19"
"Legacy Monza Agent","2","6802185","2023-08-19"
"Legacy Agent","3946","59405290","2023-08-20"
"Legacy Scraper","5746","17236261","2023-08-20"
"Feed Ingestion System (FIS)","1815","152970740","2023-08-20"
"Search Engine Scraper","23","11783","2023-08-20"
"Legacy Monza Agent","2","6849476","2023-08-20"
"Legacy Agent","3946","59230134","2023-08-21"
"Legacy Scraper","5746","17081417","2023-08-21"
"Feed Ingestion System (FIS)","1815","153346961","2023-08-21"
"Search Engine Scraper","23","11772","2023-08-21"
"Legacy Monza Agent","2","6947125","2023-08-21"
"Legacy Agent","3942","58977632","2023-08-22"
"Legacy Scraper","5746","17090016","2023-08-22"
"Feed Ingestion System (FIS)","1819","154150296","2023-08-22"
"Search Engine Scraper","23","11775","2023-08-22"
